Название,Цена (₸),Категория,Партнёр,Дата,Город
Шоу Ирины Кайратовны на Алаколе,40 000,Концерты,Мухаббат Comfort,12.07.2025 21:00:00,almaty
Большой стендап-концерт алматинских комиков,4 000,Мероприятия от Almaty Stand Up,Максат Stand Up_Almaty,06.07.2025 21:30:00,almaty
Музыкальный этно-фестиваль Qunar Etno Fest 2025,5 000,Фестивали,Qunar Fest,19.07.2025 15:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (13 октября 11:00),3 500,Спорт,Владимир (м.п),13.10.2025 11:00:00,almaty
Импровизационный стендап-концерт Мадияра Нурманбетова,6 000,Stand Up,Алексей Стендапы,06.07.2025 20:00:00,almaty
Семинар Максима Ильяхова «Соцсети для бизнеса»,10 000,Образование,"Гульмира (М,П)",30.07.2025 19:00:00,almaty
Концерт Captown в Алматы,8 000,Концерты,VI Project 7%,26.07.2025 18:00:00,almaty
Выступление ALEM,3 000,Концерты,"Mereke BHB (М.П,)",12.07.2025 23:00:00,almaty
Виниловый вечер «История рок-н-ролла на пластинках»,4 000,Мероприятия в винном клубе Love Wine,Дегустации и концерты в клубе ,06.07.2025 18:00:00,almaty
Дария «Лаунж-программа»,3 000,Мероприятия в винном клубе Love Wine,Дегустации и концерты в клубе ,05.07.2025 19:00:00,almaty
«Sexy Jazz» Ильяса Дуйсена,5 000,Мероприятия в винном клубе Love Wine,Дегустации и концерты в клубе ,04.07.2025 20:00:00,almaty
Юмористическое шоу «Царь горы» (8 июля),2 000,События от Punch StandUp Club,Punch Standup club,08.07.2025 21:30:00,almaty
Sezim melodiasy тобының концерті (11 шілде),6 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,11.07.2025 20:00:00,almaty
Стендап-шоу «Новые шутки» (9 июля),3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,09.07.2025 19:00:00,almaty
Импровизационное шоу «Книга жалоб с Андреем Айрапетовым»,5 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,09.07.2025 21:00:00,almaty
Стендап-шоу «Настоящая проверка» (8 июля),3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,08.07.2025 22:00:00,almaty
Стендап-шоу «Комики решают проблемы» (7 июля),5 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,07.07.2025 19:30:00,almaty
"Тур по трем локациям за один день: Кольсайские озера, Чарынский и Чёрный каньоны",22 950,Туризм,uvu (м.п),03.07.2025 06:00:00,almaty
