Цена (₸)                                                                                                                                         , Дата                                                             , Заведение                                                        , Улица                                                            , Номер здания                      , Дополнительно
БилетыКонцертыКонцерт Миши Марвина10 000 тенге                                                                                                   , 21 июня в 20:00                                                  , Бар Cheers                                                       , ул. Шевченко                                                     , 100
БилетыКонцертыОфициальное открытие бассейна Shah pool&spaот 10 000 тенге                                                                         , 20 июня в 11:00                                                  , Shah pool&spa                                                    , ул. Хан-Шатыра                                                   , 287/1а                            , (пересечение пр. Рыскулова и пр.Момышулы)
БилетыФестивалиФестиваль электронной музыки Şienот 15 000 тенге                                                                                  , 19 июля в 15:00                                                  , Almaty Hills                                                     , мкр. Галамат                                                     , 1288/2
БилетыФестивалиПикник by Partners (14 июня)от 25 000 тенге                                                                                       , 14 июня в 15:00                                                  , A Arena                                                          , ул. Акан Серы                                                    , 156
БилетыКонцертыСольный концерт группы «Тупик Фурманова»3000 тенге                                                                                 , 20 июня в 20:00                                                  , Бар «Бараж»                                                      , пр. Сейфуллина                                                   , 555А
БилетыКонцертыКонцерт Captown в Алматыот 8000 тенге                                                                                              , 26 июля в 18:00                                                  , Летний амфитеатр «Шабыт»                                         , ул. Гоголя                                                       , 1е
БилетыКонцертыШоу Ирины Кайратовны на Алаколеот 40 000 тенге                                                                                     , 12 июля в 21:00                                                  , Зона отдыха Comfort                                              , о. Алаколь                                                       , г. Акши                           , правый берег
БилетыСобытия в Almaty Central Stand Up ClubРазговорное шоу «Сплетни» (18 июня)3000 тенге                                                        , 18 июня в 23:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия от Punch StandUp ClubШоу «Биг стендап» (20 июня)5000 тенге                                                                         , 20 июня в 21:30                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия в Almaty Central Stand Up ClubЮмористическое шоу «Вызов» (18 июня)3000 тенге                                                       , 18 июня в 21:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия от Stand Up CampСтендап-концерт «Аманжан Махметов и друзья» (by Stand Up Camp)от 4000 тенге                                        , 21 июня в 20:00                                                  , Coffee House Grain                                               , ул. Курмангазы                                                   , 97
БилетыСобытия в Almaty Central Stand Up ClubSezim melodiasy тобының концерті (27 маусым)6000 теңгеден бастап                                     , 27 июня в 21:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия в Almaty Central Stand Up ClubСтендап-шоу «Настоящая проверка» (17 июня)3000 тенге                                                 , 17 июня в 22:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия в Almaty Central Stand Up ClubКомедийное шоу «Давай                                                                                , рассказывай» (17 июня)3000 тенге                                 , 17 июня в 20:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра               , 71
БилетыСобытия от Stand Up CampПросмотр «Беременна в 16» с комиками (by Stand Up Camp)2000 тенге                                                  , 20 июня в 23:30                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия от Stand Up CampКомедийное шоу «Стендап дуэль» (by Stand Up Camp)2000 тенге                                                        , 22 июня в 21:00                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия от Stand Up CampBest of Stand up Campот 4000 тенге                                                                                 , 20 июня в 21:00                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия от Stand Up CampКомедийное шоу «Давай                                                                                              , рассказывай» (by Stand Up Camp)2000 тенге                        , 19 июня в 21:00                                                  , Cheers                                                           , ул. Шевченко                      , 100
БилетыСобытия от Punch StandUp ClubПроверка опытных комиков (18 июня)2000 тенге                                                                  , 18 июня в 21:30                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
Мероприятия в винном клубе Love WineВинная сессия для новичков. Белые вина14 июня в 14:00                                                        , Квартира Винного клуба Love Wine                                 , ул. Кабанбай Батыра                                              , 112
БилетыМероприятия в винном клубе Love WineМузыкальный вечер «Голос XX»5000 тенге                                                                 , 14 июня в 19:00                                                  , Квартира Винного клуба Love Wine                                 , ул. Кабанбай Батыра                                              , 112
БилетыВечеринкиВыступление Summer Of Haze5000 тенге                                                                                              , 25 июля в 22:00                                                  , Tulpan Berlin                                                    , ул. Калдаякова                                                   , 17
БилетыКинопоказыКиноужин с мультфильмом «Кунг-фу Панда» от VkusKinoот 21 000 тенге                                                               , 28 июня в 18:00                                                  , Ресторан Рис                                                     , пр. Назарбаева                                                   , 273
БилетыСобытия от Punch StandUp ClubЮмористическое шоу «Царь горы» (17 июня)2000 тенге                                                            , 17 июня в 17:30                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия в Almaty Central Stand Up Club«Сыр» жобасы (19 маусым                                                                              , 18:00)4000 теңге                                                 , 19 июня в 18:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра               , 71
БилетыСобытия в Almaty Central Stand Up Club«Сыр» жобасы (19 маусым                                                                              , 21:00)4000 тенге                                                 , 19 июня в 21:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра               , 71
БилетыСобытия от Stand Up CampСтендап премьера (by Stand Up Camp)Донатное мероприятие (цену билета выбираете вы сами)                            , 21 июня в 18:00                                                  , Coffee House Grain                                               , ул. Курмангазы                                                   , 97
БилетыСобытия от Stand Up CampСтендап — 6 комиков (by Stand Up Camp)3000 тенге                                                                   , 22 июня в 19:00                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыМероприятия в театре La BohêmeКвартирник Алексея Муковозова ко дню рождения Пола Маккартни3000 тенге                                       , 18 июня в 19:30                                                  , Театр La Bohême                                                  , ул. Валиханова                                                   , 43                                , уг. ул. Жибек Жолы
БилетыМероприятия в театре La BohêmeСпектакль для детей и родителей «Лесной переполох»2500 тенге                                                 , 28 июня в 12:00                                                  , Театр La Bohême                                                  , ул. Валиханова                                                   , 43                                , уг. ул. Жибек Жолы
БилетыСобытия в Almaty Central Stand Up ClubСтендап-шоу «Комики решают проблемы» (19 июня)5000 тенге                                             , 19 июня в 19:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыStand UpИмпровизационное шоу «Само собой»2000 тенге                                                                                        , 17 июня в 21:30                                                  , Munchen Pub. ул. Толе Би                                         , 55
БилетыСобытия от Stand Up CampНочной сеанс стендапа (by Stand Up Camp)2000 тенге                                                                 , 19 июня в 23:30                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия от Stand Up CampЖёсткий стендап (by Stand Up Camp)3500 тенге                                                                       , 20 июня в 21:00                                                  , HM Lounge Bar                                                    , ул. Жамбыла                                                      , 133
БилетыСобытия от Stand Up CampЖёсткий стендап (by Stand Up Camp)3500 тенге                                                                       , 20 июня в 23:30                                                  , HM Lounge Bar                                                    , ул. Жамбыла                                                      , 133
БилетыСобытия от Stand Up CampСтендап — 7 комиков (by Stand Up Camp)3000 тенге                                                                   , 19 июня в 21:00                                                  , Billiard bar                                                     , ул. Мамыр-4                                                      , 197а
БилетыСобытия от Stand Up CampНовый стендап (by Stand Up Camp)3000 тенге                                                                         , 17 июня в 21:00                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия от Stand Up CampСтендап – 20 комиков (by Stand Up Camp)2000 тенге                                                                  , 18 июня в 21:00                                                  , Cheers                                                           , ул. Шевченко                                                     , 100
БилетыСобытия от Stand Up CampСтендап – 20 комиков (by Stand Up Camp)2000 тенге                                                                  , 16 июня в 21:00                                                  , Coffee House Grain                                               , ул. Курмангазы                                                   , 97
БилетыВечеринкиВыступление NEUX в Алматы3000 тенге                                                                                               , 20 июня в 23:00                                                  , Tulpan Berlin Studio                                             , ул. Калдаякова                                                   , 17
БилетыСобытия в Almaty Central Stand Up ClubLate Night Show with Daniyar Alshinov (14 июня)5000 тенге                                            , 14 июня в 23:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия от Punch StandUp ClubИмпровизационное разговорное шоу «Психотипичная комедия» (22 июня)от 6000 тенге                               , 22 июня в 19:30                                                  , 21:30                                                            , Punch StandUp Club                                               , ул. Каирбекова                    , 35а
БилетыСобытия от Punch StandUp ClubСольный стендап-концерт Славы Никифорова (20 июня)от 6000 тенге                                               , 20 июня в 19:30                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия от Punch StandUp ClubСольный стендап-концерт Славы Никифорова (19 июня)от 6000 тенге                                               , 19 июня в 21:30                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (11 октября)от 3000 тенге                                                                     , 11 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (15 октября 19:00)от 3000 тенге                                                               , 15 октября в 19:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (16 октября                                                                                   , 11:00)от 3000 тенге                                              , 16 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                      , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (15 октября 11:00)от 3000 тенге                                                               , 15 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (16 октября                                                                                   , 19:00)от 3000 тенге                                              , 16 октября в 19:00                                               , Almaty Arena                                                     , мкр. Нуркент                      , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (17 октября                                                                                   , 11:00)от 3000 тенге                                              , 17 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                      , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (14 октября 19:00)от 3000 тенге                                                               , 14 октября в 19:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (17 октября                                                                                   , 19:00)от 3000 тенге                                              , 17 октября в 19:00                                               , Almaty Arena                                                     , мкр. Нуркент                      , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (18 октября                                                                                   , 12:00)от 3000 тенге                                              , 18 октября в 12:00                                               , Almaty Arena                                                     , мкр. Нуркент                      , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (13 октября 19:00)от 3000 тенге                                                               , 13 октября в 19:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (18 октября                                                                                   , 19:00)от 3000 тенге                                              , 18 октября в 19:00                                               , Almaty Arena                                                     , мкр. Нуркент                      , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (19 октября)от 3000 тенге                                                                     , 19 октября в 12:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (14 октября 11:00)от 3000 тенге                                                               , 14 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (13 октября 11:00)от 3000 тенге                                                               , 13 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСпортТеннисный фестиваль Almaty Open ATP 250 (12 октября)от 3000 тенге                                                                     , 12 октября в 11:00                                               , Almaty Arena                                                     , мкр. Нуркент                                                     , 7
БилетыСобытия в Almaty Central Stand Up Club«Сыр» жобасы (19 маусым                                                                              , 15:00)4000 теңге                                                 , 19 июня в 15:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра               , 71
БилетыВечеринкиЛетняя хаус-вечеринка Voyage Pool Partyот 12 000 тенге                                                                            , 22 июня в 13:00                                                  , Алматинская область                                              , с. Коянкус                                                       , ул. Бейбитшилик                   , 208
БилетыStand UpДебютный сольник Шұғылы в Алматыот 4000 тенге                                                                                      , 5 июля в 19:30                                                   , Cafe Leffe                                                       , ул. Манаса                                                       , 5а
БилетыРазвлеченияКвиз                                                                                                                            , плиз! #7443000 тенге                                             , 14 июня в 17:00                                                  , Mad Murphy`s Irish Pub                                           , ул. Казыбек би                    , 65
БилетыСобытия в Almaty Central Stand Up ClubSezim melodiasy тобының концерті (20 маусым)6000 теңгеден бастап                                     , 20 июня в 21:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыРазвлеченияКвиз                                                                                                                            , плиз! (изи) #103000 тенге                                        , 15 июня в 16:00                                                  , Guinness pub                                                     , пр. Достык                        , 71
БилетыРазвлеченияКвиз                                                                                                                            , плиз! (назад в 90-е) #63000 тенге                                , 15 июня в 19:00                                                  , Guinness pub                                                     , пр. Достык                        , 71
БилетыВечеринкиДатский техно рейв с Mama Snakeот 6000 тенге                                                                                      , 5 июля в 20:00                                                   , Место проведения будет объявлено позже
БилетыСобытия в Almaty Central Stand Up ClubСтендап-концерт «Новые шутки» (15 июня)3000 тенге                                                    , 15 июня в 19:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия в Almaty Central Stand Up ClubСтендап-шоу «Комики решают проблемы» (15 июня)4000 тенге                                             , 15 июня в 21:30                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия в Almaty Central Stand Up ClubЖенский микрофон (15 июня)3000 тенге                                                                 , 15 июня в 21:00                                                  , Стендап клуб Almaty Central Stand up club                        , ул. Кабанбай Батыра                                              , 71
БилетыСобытия от Punch StandUp ClubЮмористический киновечер «Воскресный Гарри Поттер» (15 июня)2000 тенге                                        , 15 июня в 17:00                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия от Punch StandUp ClubБольшой открытый микрофон (14 июня)2000 тенге                                                                 , 14 июня в 17:00                                                  , Punch StandUp Club                                               , ул. Каирбекова                                                   , 35а
БилетыСобытия от Stand Up CampСъемка стендап шоу «Как на личном?» (by Stand Up Camp)2000 тенге                                                   , 15 июня в 19:00                                                  , HM Lounge Bar                                                    , ул. Жамбыла                                                      , 133
