Название                                                                                                              , Цена (₸), Категория
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Dair Ard – Кельтский фолк                                                                                             , 2 000   , Концерты в EverJazz
Спектакль «Лучший сотрудник Вечности»                                                                                 , 5 000   , Спектакли в театре 2act
"Спектакль «Женское счастье, или все мужики…»"                                                                        , 4 000   , Спектакли в ЛТЕ
Съемка стендап шоу «Как на личном?» (by Stand Up Camp)                                                                , 2 000   , События от Stand Up Camp
Стендап-концерт «Новые шутки» (15 июня)                                                                               , 3 000   , События в Almaty Central Stand Up Club
"Квиз, плиз! (назад в 90-е) #6"                                                                                       , 3 000   , Развлечения
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Вечерний кинопоказ под открытым небом                                                                                 , 2 000   , Кинопоказы
Спектакль «Мечта»                                                                                                     , 4 000   , Спектакли в арт-убежище BUNKER
Сольный стендап-концерт Темирлана Жалдыбаева (by Stand Up Camp)                                                       , 4 000   , События от Stand Up Camp
Женский микрофон (15 июня)                                                                                            , 3 000   , События в Almaty Central Stand Up Club
Съемка стендап шоу «Как на личном?» (by Stand Up Camp)                                                                , 2 000   , События от Stand Up Camp
Стендап-шоу «Комики решают проблемы» (15 июня)                                                                        , 4 000   , События в Almaty Central Stand Up Club
Вечерний кинопоказ под открытым небом                                                                                 , 2 000   , Кинопоказы
Вечерний кинопоказ под открытым небом                                                                                 , 2 000   , Кинопоказы
Тур «Водопад Текес и озеро Тузколь»                                                                                   , 190 000 , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
"Тур «Озера Каинды, Кольсай, Черный и Чарынский каньоны»"                                                             , 18 000  , Туры от Melon Travel
Тур «Природные чудеса Алматинской области в одном незабываемом дне»                                                   , 35 000  , Туризм
"Тур «Жемчужины Тянь-Шаня: Чарын, Кольсай и Черный каньон»"                                                           , 12 000  , Туры от MOCEAN Travel
"Тур «Озеро Каинды, Чарынский каньон и Черный каньон»"                                                                , 19 000  , Туры от Melon Travel
"Тур «Озеро Кольсай, Чарынский каньон и Черный каньон»"                                                               , 19 000  , Туры от Melon Travel
Тур на внедорожниках «Алтын Эмель – Поющий Бархан»                                                                    , 49 000  , Туры от Melon Travel
"Тур «Чарынский каньон, Черный и Лунный каньоны»"                                                                     , 19 000  , Туры от Melon Travel
Тур «Озеро Кайынды и озеро Кольсай за 1 день»                                                                         , 140 000 , Туры от Melon Travel
Тур «Озеро Иссык и водопад Медвежий»                                                                                  , 14 000  , Туры от Melon Travel
Тур «Национальный парк Алтын Эмель: горы Актау и Катутау»                                                             , 190 000 , Туры от Melon Travel
Тур «Тайны Танбалы: путешествие к петроглифам ЮНЕСКО в сердце Центральной Азии»                                       , 100 000 , Туры от Melon Travel
"Тур «Чарынский каньон, Долина замков и река Чарын»"                                                                  , 100 000 , Туры от Melon Travel
Тур «По следам древнего океана Тетис: от меловых гор Актау и вулканов Катутау до 700-летней ивы»                      , 200 000 , Туризм
Тур «Чарынский каньон: в Долину Замков до реки Чарын»                                                                 , 19 000  , Туры от Melon Travel
Тур на внедорожниках «Плато Ассы и Тургеньский (Медвежий) водопад»                                                    , 14 000  , Туры от Melon Travel
Тур «Водопад Аюсай и горячие источники Алма Арасан»                                                                   , 24 000  , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Двухдневный тур в Алтын-Эмель: от мелодий Поющего бархана до величия гор Актау и Катутау                              , 300 000 , Туры от Melon Travel
"Тур «Алматинское Золотое Кольцо: горы, каньоны, озера и Поющий Бархан»"                                              , 640 000 , Туры от Melon Travel
Летний городской лагерь «Тайны любимого города»                                                                       , 139 800 , Туризм
Автомобильный тур «БАО – Большое Алматинское Озеро и водопад Аюсай»                                                   , 30 000  , Туры от Melon Travel
"Тур на автомобиле «Туркестан, Отрар и Арыстан Баб за один день»"                                                     , 45 000  , Туры от Melon Travel
Обзорная экскурсия на автомобиле «Такой разный Алматы: город и горы за 1 день»                                        , 105 000 , Туры от Melon Travel
Тур «Петроглифы Тамгалы Тас и Город Кочевников»                                                                       , 120 000 , Туры от Melon Travel
Индивидуальный тур «Озеро Иссык»                                                                                      , 90 000  , Туры от Melon Travel
"Индивидуальный тур на ночь в горы с посещением озёр Кольсай и Каинды, а также Чарынского, Черного и Лунного каньонов", 240 000 , Туры от Melon Travel
Тур «Этно-тур в аул кочевников из Алматы — всё включено»                                                              , 125 000 , Туры от Melon Travel
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             , 15 000  , Туры от Melon Travel
Обзорная пешеходная экскурсия «Алматинский вайб»                                                                      , 20 000  , Туры от Melon Travel
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             , 15 000  , Туры от Melon Travel
Вечерний кинопоказ под открытым небом                                                                                 , 2 000   , Кинопоказы
All stars jam session – Джазовая музыка и импровизация                                                                , 2 000   , Концерты в EverJazz
Стендап – 20 комиков (by Stand Up Camp)                                                                               , 2 000   , События от Stand Up Camp
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Вечерний кинопоказ под открытым небом                                                                                 , 2 000   , Кинопоказы
Вечерний кинопоказ под открытым небом                                                                                 , 2 000   , Кинопоказы
Тур «Водопад Текес и озеро Тузколь»                                                                                   , 190 000 , Туры от Melon Travel
"Тур «Озера Каинды, Кольсай, Черный и Чарынский каньоны»"                                                             , 18 000  , Туры от Melon Travel
Тур «Природные чудеса Алматинской области в одном незабываемом дне»                                                   , 35 000  , Туризм
"Тур «Озера за 1 день: Кольсай, Каинды и Черный каньон»"                                                              , 13 000  , Туры от MOCEAN Travel
"Тур «Озеро Каинды, Чарынский каньон и Черный каньон»"                                                                , 19 000  , Туры от Melon Travel
"Тур «Озеро Кольсай, Чарынский каньон и Черный каньон»"                                                               , 19 000  , Туры от Melon Travel
Тур на внедорожниках «Алтын Эмель – Поющий Бархан»                                                                    , 49 000  , Туры от Melon Travel
"Тур «Чарынский каньон, Черный и Лунный каньоны»"                                                                     , 19 000  , Туры от Melon Travel
Тур «Озеро Кайынды и озеро Кольсай за 1 день»                                                                         , 140 000 , Туры от Melon Travel
Тур «Озеро Иссык и водопад Медвежий»                                                                                  , 14 000  , Туры от Melon Travel
Тур «Национальный парк Алтын Эмель: горы Актау и Катутау»                                                             , 190 000 , Туры от Melon Travel
Тур «Тайны Танбалы: путешествие к петроглифам ЮНЕСКО в сердце Центральной Азии»                                       , 100 000 , Туры от Melon Travel
"Тур «Чарынский каньон, Долина замков и река Чарын»"                                                                  , 100 000 , Туры от Melon Travel
Тур «По следам древнего океана Тетис: от меловых гор Актау и вулканов Катутау до 700-летней ивы»                      , 200 000 , Туризм
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
